[2026-05-22 17:36:26] [INFO] [llamastudio] Application logging initialized. File: /home/gnulnx/LLamaStuiod/logs/app.log
[2026-05-22 17:36:26] [INFO] [llamastudio] [LLamaStudio] Starting on http://127.0.0.1:8765
[2026-05-22 17:36:26] [INFO] [llamastudio] [LLamaStudio] llama-server will start automatically
[2026-05-22 17:36:26] [INFO] [llamastudio] [LLamaStudio] Application started. Access interface on http://127.0.0.1:8765
[2026-05-22 17:36:28] [INFO] [llamastudio] [startup] Opening browser to http://127.0.0.1:8765
[2026-05-22 17:38:28] [INFO] [llamastudio] [server] Loading: /home/gnulnx/.lmstudio/models/whoya/Huihui-Qwen3.6-35B-A3B-Claude-4.7-Opus-abliterated-Q5_K_M-GGUF/huihui-qwen3.6-35b-a3b-claude-4.7-opus-abliterated-q5_k_m.gguf with cmd: /home/gnulnx/llama.cpp/build/bin/llama-server -m /home/gnulnx/.lmstudio/models/whoya/Huihui-Qwen3.6-35B-A3B-Claude-4.7-Opus-abliterated-Q5_K_M-GGUF/huihui-qwen3.6-35b-a3b-claude-4.7-opus-abliterated-q5_k_m.gguf --port 1234 --ctx-size 2048 --gpu-layers 128 -ctk q8_0 -ctv q8_0 --flash-attn on --threads 4 --mmap --override-kv qwen35.context_length=int:262144
[2026-05-22 17:38:29] [INFO] [llamastudio] [server] Model loaded: huihui-qwen3.6-35b-a3b-claude-4.7-opus-abliterated-q5_k_m
[2026-05-22 17:38:29] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 503 Service Unavailable"
[2026-05-22 17:38:30] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 503 Service Unavailable"
[2026-05-22 17:38:34] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:38] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:46] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:50] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:54] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:38:54] [INFO] [httpx] HTTP Request: POST http://127.0.0.1:1234/chat/completions "HTTP/1.1 200 OK"
[2026-05-22 17:38:58] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:02] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:06] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:10] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:14] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:18] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:22] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
